id,fecha,producto,categoria,cantidad,precio,ciudad,cliente
559,2025-04-19,Disco SSD 500GB,Almacenamiento,3.0,231700.0,Cali,Cliente_161
454,,Memoria RAM 16GB,Componentes,3.0,270800.0,Barranquilla,Cliente_137
499,2025-06-17,Disco SSD 500GB,Almacenamiento,6.0,225200.0,Bogotá,Cliente_028
178,2025-11-24,Parlante Bluetooth,Audio,1.0,267600.0,Ibagué,Cliente_104
119,2025-02-10,Mouse Logitech,Accesorios,4.0,79300.0,Cali,Cliente_155
548,2025-08-02,Laptop Lenovo IdeaPad,Tecnología,7.0,2413500.0,Villavicencio,Cliente_145
264,2025-11-26,Audífonos JBL,Audio,3.0,320600.0,Medellín,Cliente_057
338,2025-11-08,Laptop Lenovo IdeaPad,Tecnología,1.0,2530500.0,Cali,Cliente_111
408,2025-04-06,Disco SSD 500GB,Almacenamiento,4.0,252500.0,Cali,Cliente_141
398,2025-11-27,Audífonos JBL,Audio,2.0,342400.0,Medellín,Cliente_180
616,2025-08-22,Mouse Logitech,Accesorios,1.0,85000.0,Cali,Cliente_144
400,2025-11-12,Disco SSD 1TB,Almacenamiento,3.0,394700.0,Barranquilla,Cliente_012
139,2025-03-10,Parlante Bluetooth,Audio,1.0,249900.0,Bogotá,Cliente_006
175,2025-12-15,Laptop Lenovo IdeaPad,Tecnología,6.0,2272900.0,Pereira,Cliente_011
132,2025-02-23,Teclado Mecánico,Accesorios,3.0,203500.0,Cali,Cliente_133
33,2025-06-01,Laptop Lenovo IdeaPad,Tecnología,3.0,2359600.0,Ibagué,
556,2025-11-03,Tablet Samsung,Tecnología,1.0,1172800.0,Medellín,Cliente_167
82,2025-11-21,Memoria RAM 16GB,Componentes,2.0,290300.0,Cali,Cliente_034
101,2025-02-11,Tablet Samsung,Tecnología,7.0,1168200.0,Bogotá,Cliente_167
211,2025-12-15,Memoria RAM 16GB,Componentes,4.0,300500.0,Pereira,Cliente_065
583,2025-09-02,Disco SSD 1TB,Almacenamiento,3.0,368000.0,Bucaramanga,Cliente_170
135,2025-11-02,Disco SSD 1TB,Almacenamiento,4.0,420000.0,Bogotá,Cliente_082
406,2025-01-25,Disco SSD 1TB,Almacenamiento,6.0,369700.0,Barranquilla,Cliente_117
4,2025-07-11,Mouse Logitech,Accesorios,4.0,91000.0,Cali,Cliente_021
268,2025-08-04,Mouse Logitech,Accesorios,2.0,87700.0,Medellín,Cliente_160
393,2025-04-28,Memoria RAM 16GB,Componentes,4.0,306600.0,Barranquilla,Cliente_104
7,2025-11-16,Teclado Mecánico,Accesorios,4.0,210500.0,Villavicencio,Cliente_131
643,2025-09-20,Mouse Logitech,Accesorios,1.0,80100.0,Cali,Cliente_018
173,2025-08-24,Laptop Lenovo IdeaPad,Tecnología,5.0,2579600.0,Bogotá,Cliente_078
633,2025-07-05,Disco SSD 500GB,Almacenamiento,3.0,219600.0,Ibagué,Cliente_157
510,,Tablet Samsung,Tecnología,4.0,1297900.0,Villavicencio,Cliente_063
167,2025-05-20,Monitor Samsung 24,Tecnología,1.0,809500.0,Ibagué,Cliente_001
369,2025-03-12,Parlante Bluetooth,Audio,7.0,261000.0,Ibagué,Cliente_056
495,2025-10-21,Memoria RAM 16GB,Componentes,6.0,275500.0,Cali,Cliente_059
318,2025-05-27,Tablet Samsung,Tecnología,5.0,1273100.0,Ibagué,Cliente_100
75,2025-05-09,Memoria RAM 16GB,Componentes,7.0,293900.0,Bogotá,Cliente_122
598,2025-08-24,Teclado Mecánico,Accesorios,2.0,226200.0,Cali,Cliente_096
254,2025-10-29,Mouse Logitech,Accesorios,3.0,79200.0,Cali,Cliente_029
130,,Laptop Lenovo IdeaPad,Tecnología,1.0,2550700.0,Cali,Cliente_095
375,2025-06-16,Webcam HD,Accesorios,3.0,184800.0,Bogotá,Cliente_089
65,2025-01-13,Memoria RAM 16GB,Componentes,2.0,299100.0,Cali,Cliente_135
494,2025-05-24,Tablet Samsung,Tecnología,2.0,1169500.0,Pereira,Cliente_179
11,2025-03-22,Webcam HD,Accesorios,7.0,165900.0,Cali,Cliente_050
16,2025-07-07,Audífonos JBL,Audio,2.0,343800.0,Cali,Cliente_041
487,2025-05-11,,Audio,5.0,249900.0,Ibagué,Cliente_165
49,2025-04-14,Monitor Samsung 24,Tecnología,3.0,834400.0,Cali,Cliente_112
590,2025-04-02,Memoria RAM 16GB,Componentes,4.0,278000.0,Ibagué,Cliente_024
